Date,Name,Type,Country Name,Country Code
2023-01-03,Asarah B'Tevet (Tenth of Tevet),"['Observance', 'Hebrew']",Israel,IL
2023-02-06,Tu Bishvat,"['Observance', 'Hebrew']",Israel,IL
2023-03-06,Fast of Esther,"['Observance', 'Hebrew']",Israel,IL
2023-03-06,Purim Eve,"['Observance', 'Hebrew']",Israel,IL
2023-03-07,Purim (Tel Aviv),"['Local holiday', 'Hebrew']",Israel,IL
2023-03-08,Shushan Purim (Jerusalem),"['Local holiday', 'Hebrew']",Israel,IL
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Israel,IL
2023-04-01,Aliyah Day,['Observance'],Israel,IL
2023-04-05,Passover Eve,"['Observance', 'Hebrew']",Israel,IL
2023-04-06,Passover (Day 1),"['National holiday', 'Hebrew']",Israel,IL
2023-04-07,Passover (Day 2),"['Observance', 'Hebrew']",Israel,IL
2023-04-08,Passover (Day 3),"['Observance', 'Hebrew']",Israel,IL
2023-04-09,Passover (Day 4),"['Observance', 'Hebrew']",Israel,IL
2023-04-10,Passover (Day 5),"['Observance', 'Hebrew']",Israel,IL
2023-04-11,Passover (Day 6),"['Observance', 'Hebrew']",Israel,IL
2023-04-12,Passover (Day 7),"['National holiday', 'Hebrew']",Israel,IL
2023-04-18,Yom HaShoah,"['Observance', 'Hebrew']",Israel,IL
2023-04-25,Yom HaZikaron,"['Observance', 'Hebrew']",Israel,IL
2023-04-26,Yom HaAtzmaut,"['National holiday', 'Hebrew']",Israel,IL
2023-05-09,Lag BaOmer,"['Observance', 'Hebrew']",Israel,IL
2023-05-19,Jerusalem Day,"['Observance', 'Hebrew']",Israel,IL
2023-05-25,Shavuot Eve,"['Observance', 'Hebrew']",Israel,IL
2023-05-26,Shavuot,"['National holiday', 'Hebrew']",Israel,IL
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Israel,IL
2023-07-06,17th of Tammuz,"['Observance', 'Hebrew']",Israel,IL
2023-07-26,Tisha B'Av Eve,"['Observance', 'Hebrew']",Israel,IL
2023-07-27,Tisha B'Av,"['Observance', 'Hebrew']",Israel,IL
2023-09-15,Rosh Hashana Eve,"['Observance', 'Hebrew']",Israel,IL
2023-09-16,Rosh Hashana,"['National holiday', 'Hebrew']",Israel,IL
2023-09-17,Rosh Hashana (Day 2),"['National holiday', 'Hebrew']",Israel,IL
2023-09-18,Gedaliah Fast,"['Observance', 'Hebrew']",Israel,IL
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Israel,IL
2023-09-24,Yom Kippur Eve,"['Observance', 'Hebrew']",Israel,IL
2023-09-25,Yom Kippur,"['National holiday', 'Hebrew']",Israel,IL
2023-09-29,Sukkot Eve,"['Observance', 'Hebrew']",Israel,IL
2023-09-30,Sukkot (Day 1),"['National holiday', 'Hebrew']",Israel,IL
2023-10-01,Sukkot (Day 2),"['Observance', 'Hebrew']",Israel,IL
2023-10-02,Sukkot (Day 3),"['Observance', 'Hebrew']",Israel,IL
2023-10-03,Sukkot (Day 4),"['Observance', 'Hebrew']",Israel,IL
2023-10-04,Sukkot (Day 5),"['Observance', 'Hebrew']",Israel,IL
2023-10-05,Sukkot (Day 6),"['Observance', 'Hebrew']",Israel,IL
2023-10-06,Sukkot (Day 7) / Hoshanah Rabah,"['Observance', 'Hebrew']",Israel,IL
2023-10-07,Shemini Atzeret / Simchat Torah,"['National holiday', 'Hebrew']",Israel,IL
2023-10-22,Aliyah Day School Observance,['Observance'],Israel,IL
2023-12-08,Hanukkah (Day 1),"['Observance', 'Hebrew']",Israel,IL
2023-12-09,Hanukkah (Day 2),"['Observance', 'Hebrew']",Israel,IL
2023-12-10,Hanukkah (Day 3),"['Observance', 'Hebrew']",Israel,IL
2023-12-11,Hanukkah (Day 4),"['Observance', 'Hebrew']",Israel,IL
2023-12-12,Hanukkah (Day 5),"['Observance', 'Hebrew']",Israel,IL
2023-12-13,Hanukkah (Day 6) / Rosh Chodesh Tevet,"['Observance', 'Hebrew']",Israel,IL
2023-12-14,Hanukkah (Day 7),"['Observance', 'Hebrew']",Israel,IL
2023-12-15,Hanukkah (Day 8),"['Observance', 'Hebrew']",Israel,IL
2023-12-22,Asarah B'Tevet (Tenth of Tevet),"['Observance', 'Hebrew']",Israel,IL
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Israel,IL
